"By administrative divisions(eup, myeon, dong)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"By administrative divisions(eup, myeon, dong)",Total population (Person),Male (Person),Female (Person),Korean - total (Person),Korean - male (Person),Korean - Female (Person),Foreigner-Total (Person),Foreigner-Male (Person),Foreigner-Female (Person),Household-Total (households),Type of occupancy (households),Institutional households (households),Foreigner household (households),Housing units-Total (Housing),Detached dwelling (Housing),Apartment (Housing),Row house (Housing),Apartment unit ina private house (Housing),House within commercial building (Housing),Living quaters other than housing unit (Housing)
"Total for eups",47195,24650,22545,44759,23289,21470,2436,1361,1075,22379,21279,29,1071,17278,2819,12422,768,899,370,325
"Total for myeons",47441,26606,20835,43797,23831,19966,3644,2775,869,24056,23131,74,851,18331,12368,4749,216,651,347,1211
"Total for dongs",295520,144521,150999,293608,143764,149844,1912,757,1155,114874,114491,12,371,122674,1005,121185,370,114,X,2125
"Sejong-si",390156,195777,194379,382164,190884,191280,7992,4893,3099,161309,158901,115,2293,158283,16192,138356,1354,1664,717,3661
"Gyeonggi-do",13914479,7044388,6870091,13233278,6645322,6587956,681201,399066,282135,5827597,5592072,5285,230240,4962282,504954,3582867,138496,701579,34386,370297
"Total for eups",1481510,775891,705619,1377847,708200,669647,103663,67691,35972,617631,587355,948,29328,575930,84914,384015,24193,77328,5480,26393
"Total for myeons",775345,437865,337480,665208,352721,312487,110137,85144,24993,335161,308273,1330,25558,284623,167935,59759,9935,40348,6646,32949
"Total for dongs",11657624,5830632,5826992,11190223,5584401,5605822,467401,246231,221170,4874805,4696444,3007,175354,4101729,252105,3139093,104368,583903,22260,310955
"Suwon-si",1224979,616319,608660,1164984,586211,578773,59995,30108,29887,533566,508564,284,24718,411197,30137,308134,9731,60776,2419,31132
"Jangan-gu",280812,141278,139534,269932,135889,134043,10880,5389,5491,118686,114321,88,4277,94962,8422,64264,1811,19755,710,2210
"Gwonseon-gu",370600,186916,183684,353535,178382,175153,17065,8534,8531,161989,155236,56,6697,130264,9462,94078,2917,22983,824,6478
"Paldal-gu",208817,105434,103383,187912,94455,93457,20905,10979,9926,99485,90276,70,9139,73852,8132,47194,2373,15509,644,7246
"Yeongtong-gu",364750,182691,182059,353605,177485,176120,11145,5206,5939,153406,148731,70,4605,112119,4121,102598,2630,2529,241,15198
"Seongnam-si",900867,445311,455556,875060,433098,441962,25807,12213,13594,393786,383004,147,10635,281451,29513,205676,10924,33916,1422,35827
"Sujeong-gu",246990,124373,122617,230329,116200,114129,16661,8173,8488,116440,109006,47,7387,69364,16302,39799,1005,11721,537,5217
"Jungwon-gu",205957,103516,102441,201671,101581,100090,4286,1935,2351,94793,93112,56,1625,65938,7738,36493,972,20089,646,6523
"Bundang-gu",447920,217422,230498,443060,215317,227743,4860,2105,2755,182553,180886,44,1623,146149,5473,129384,8947,2106,239,24087
"Uijeongbu-si",456516,223735,232781,447713,219560,228153,8803,4175,4628,197569,194238,139,3192,173694,11927,135682,2856,22221,1008,8369
"Anyang-si",545800,268691,277109,534996,263514,271482,10804,5177,5627,224406,220099,102,4205,191236,8264,147234,3192,31400,1146,13568
"Manan-gu",229980,114139,115841,221647,110011,111636,8333,4128,4205,98466,95009,80,3377,77804,5751,48410,2059,20875,709,5676
"Dongan-gu",315820,154552,161268,313349,153503,159846,2471,1049,1422,125940,125090,22,828,113432,2513,98824,1133,10525,437,7892
"Bucheon-si",794082,391262,402820,749212,368953,380259,44870,22309,22561,339283,322370,229,16684,282358,16184,167724,6988,88955,2507,26539
"Wonmi-gu",401522,196424,205098,380022,185950,194072,21500,10474,11026,172501,164060,131,8310,134054,8435,89354,3304,31803,1158,19942
"Sosa-gu",240865,118258,122607,221686,108786,112900,19179,9472,9707,100466,93540,67,6859,83947,5152,55255,2059,20762,719,5568
"Ojeong-gu",151695,76580,75115,147504,74217,73287,4191,2363,1828,66316,64770,31,1515,64357,2597,23115,1625,36390,630,1029
"Gwangmyeong-si",272371,133393,138978,267562,131057,136505,4809,2336,2473,109073,107268,44,1761,96149,3316,78207,741,13469,416,5891
"Pyeongtaek-si",615755,325497,290258,576601,302938,273663,39154,22559,16595,273333,260328,237,12768,256250,33880,181978,7494,30815,2083,8673
"Dongducheon-si",89466,44744,44722,84461,42005,42456,5005,2739,2266,40125,38765,74,1286,39509,6410,22638,2594,7506,361,1163
"Ansan-si",701551,363576,337975,607938,310994,296944,93613,52582,41031,305073,267949,376,36748,229490,15292,120996,8593,83228,1381,16078
"Sangnok-gu",348328,177856,170472,320896,163835,157061,27432,14021,13411,152105,141317,144,10644,116521,7427,48805,1205,58351,733,3562
"Danwon-gu",353223,185720,167503,287042,147159,139883,66181,38561,27620,152968,126632,232,26104,112969,7865,72191,7388,24877,648,12516
"Goyang-si",1044968,509013,535955,1025352,499085,526267,19616,9928,9688,436591,430075,325,6191,356130,21224,282766,12575,37939,1626,48745
"Deogyang-gu",482446,236705,245741,474778,233108,241670,7668,3597,4071,206998,204590,131,2277,174023,10066,132672,6185,24232,868,18923
"Ilsandong-gu",288578,139911,148667,282038,136273,145765,6540,3638,2902,121124,118943,138,2043,86766,7533,65798,4126,8865,444,22448
"Ilsanseo-gu",273944,132397,141547,268536,129704,138832,5408,2693,2715,108469,106542,56,1871,95341,3625,84296,2264,4842,314,7374
"Gwacheon-si",81213,39761,41452,80758,39570,41188,455,191,264,29296,29182,11,103,24477,1554,20334,185,2310,94,1167
"Guri-si",182102,89902,92200,180002,88970,91032,2100,932,1168,75762,75031,29,702,60588,4310,48583,2056,5217,422,4286
"Namyangju-si",718385,355844,362541,706553,349073,357480,11832,6771,5061,283577,280404,267,2906,266326,17188,208683,12227,26634,1594,11591
"Osan-si",254071,132356,121715,235372,122561,112811,18699,9795,8904,111861,103897,82,7882,94274,5277,77726,1803,8865,603,4098
"Siheung-si",571982,302144,269838,506716,263960,242756,65266,38184,27082,242184,214491,206,27487,195742,7541,158113,1812,26975,1301,15599
"Gunpo-si",258110,127967,130143,248199,122983,125216,9911,4984,4927,109230,105395,74,3761,92260,3499,74910,1245,12165,441,5635
"Uiwang-si",151306,74874,76432,149731,74125,75606,1575,749,826,59627,59181,39,407,58832,2318,48339,775,7174,226,1833
"Hanam-si",320872,159390,161482,317055,157520,159535,3817,1870,1947,132818,131561,40,1217,101571,5994,91108,1428,2387,654,20568
"Yongin-si",1077481,536595,540886,1048779,520392,528387,28702,16203,12499,422581,413755,352,8474,376340,32072,293749,11792,36945,1782,18433
"Cheoin-gu",286273,148694,137579,270133,138326,131807,16140,10368,5772,118458,113692,198,4568,105514,20201,52447,6190,25400,1276,5540
"Giheung-gu",429488,211645,217843,421736,207871,213865,7752,3774,3978,167820,165282,106,2432,148823,7741,128382,3722,8651,327,6368
"Suji-gu",361720,176256,185464,356910,174195,182715,4810,2061,2749,136303,134781,48,1474,122003,4130,112920,1880,2894,179,6525
"Paju-si",510689,262068,248621,491221,248386,242835,19468,13682,5786,206173,201200,280,4693,192440,26181,140256,4004,20675,1324,10118
"Icheon-si",230189,121327,108862,216276,112820,103456,13913,8507,5406,96328,92642,167,3519,84492,23343,43911,3709,12236,1293,5344
"Anseong-si",215739,113407,102332,192155,98797,93358,23584,14610,8974,93907,86190,221,7496,86104,21789,55869,2738,4784,924,3984
"Gimpo-si",499536,257239,242297,466039,232191,233848,33497,25048,8449,199749,190489,170,9090,174514,13540,145123,5633,9283,935,17862
"Hwaseong-si",1004079,532995,471084,934208,484168,450040,69871,48827,21044,407751,388620,515,18616,360155,33817,298820,6002,19520,1996,32307
"Gwangju-si",402335,207712,194623,382599,194602,187997,19736,13110,6626,164139,158681,137,5321,146434,17063,62515,4542,61181,1133,4319
"Yangju-si",293000,149367,143633,280230,140393,139837,12770,8974,3796,119309,116280,217,2812,121024,10921,97497,3356,8296,954,3750
"Pocheon-si",157166,86341,70825,136613,71290,65323,20553,15051,5502,67134,62351,203,4580,58838,20967,22743,2727,11270,1131,6027
"Yeoju-si",117477,60416,57061,110630,56176,54454,6847,4240,2607,51149,49618,128,1403,47949,22014,18383,1553,5018,981,2370
"Yeoncheon-gun",40386,21430,18956,38571,20119,18452,1815,1311,504,18989,18486,43,460,17745,9038,5794,1157,1342,414,1042
"Gapyeong-gun",60384,30865,29519,58743,30149,28594,1641,716,925,28448,27941,47,460,29310,15553,6987,2174,3726,870,1447
"Yangpyeong-gun",121622,60847,60775,118949,59662,59287,2673,1185,1488,54780,54017,100,663,55403,34828,12389,1890,5351,945,2532
"Gangwon-State",1522881,768885,753996,1486301,748014,738287,36580,20871,15709,714657,702603,741,11313,684430,241638,395481,22094,13407,11810,19140
"Total for eups",245562,125722,119840,239085,121795,117290,6477,3927,2550,114052,112273,138,1641,114502,48793,51696,6518,4672,2823,3478
"Total for myeons",358543,187025,171518,345027,178569,166458,13516,8456,5060,173491,169315,309,3867,177710,118667,48420,3626,3309,3688,6851
"Total for dongs",918776,456138,462638,902189,447650,454539,16587,8488,8099,427114,421015,294,5805,392218,74178,295365,11950,5426,5299,8811
"Chuncheon-si",291783,143692,148091,285237,140272,144965,6546,3420,3126,131727,129466,108,2153,111033,27413,78900,1921,1426,1373,3029
"Wonju-si",365720,181358,184362,359364,177980,181384,6356,3378,2978,166762,164385,148,2229,151987,30374,117614,1176,1286,1537,3814
"Gangneung-si",212352,106007,106345,207560,103387,104173,4792,2620,2172,100918,98987,113,1818,92596,29928,56056,3289,1485,1838,2387
"Donghae-si",85673,43555,42118,84355,42788,41567,1318,767,551,40174,39776,28,370,42995,10297,29182,1636,1175,705,655
"Taebaek-si",37590,19009,18581,37022,18784,18238,568,225,343,18730,18551,20,159,21880,5766,13023,2521,162,408,404
"Sokcho-si",79758,39710,40048,77662,38395,39267,2096,1315,781,38720,38116,27,577,40833,8212,29589,1863,533,636,930
"Samcheok-si",62953,32798,30155,61781,32097,29684,1172,701,471,30644,30275,36,333,32000,13144,15716,1606,934,600,642
"Hongcheon-gun",65719,34252,31467,63748,32982,30766,1971,1270,701,31708,31062,47,599,32203,20074,9090,1549,788,702,1118
"Hoengseong-gun",45947,23881,22066,43790,22502,21288,2157,1379,778,21791,21229,46,516,22087,15881,4942,378,504,382,897
"Yeongwol-gun",35449,18357,17092,34735,17980,16755,714,377,337,18310,18107,18,185,18460,11622,4876,736,815,411,672
"Pyeongchang-gun",39016,20253,18763,37878,19678,18200,1138,575,563,19749,19383,23,343,23256,13174,6416,1981,1174,511,874
"Jeongseon-gun",32503,16848,15655,31683,16535,15148,820,313,507,16678,16473,29,176,17531,10217,5922,409,529,454,629
"Cheorwon-gun",40069,20866,19203,38551,19932,18619,1518,934,584,17805,17349,25,431,17310,9264,5482,983,1107,474,760
"Hwacheon-gun",22278,11914,10364,21714,11622,10092,564,292,272,10468,10287,12,169,9987,6002,3001,496,257,231,428
"Yanggu-gun",20443,10847,9596,19584,10229,9355,859,618,241,9218,8967,13,238,8418,4980,2645,348,174,271,343
"Inje-gun",31167,17225,13942,30074,16498,13576,1093,727,366,14363,14093,14,256,13623,7856,4417,547,357,446,520
"Goseong-gun",27774,14670,13104,25453,13048,12405,2321,1622,699,13447,12838,20,589,13479,9045,3535,153,368,378,520
