"Gangwon-do","14 and under",229469,119100,110369,107.90
"Gangwon-do","15 - 64 Years old",1007770,523732,484038,108.20
"Gangwon-do","65 Years old",226411,92243,134168,68.80
"Gangwon-do","Mean age",40.3,38.6,42.0,-
"Gangwon-do","Median age",40.8,39.1,42.6,-
"Chungcheongbuk-do","Total",1495984,748622,747362,100.20
"Chungcheongbuk-do","0-4 Years old",69258,35693,33565,106.30
"Chungcheongbuk-do","5-9 Years old",75891,39447,36444,108.20
"Chungcheongbuk-do","10-14 Years old",101753,53085,48668,109.10
"Chungcheongbuk-do","15-19 Years old",110193,59054,51139,115.50
"Chungcheongbuk-do","20-24 Years old",96955,53167,43788,121.40
"Chungcheongbuk-do","25-29 Years old",99156,52374,46782,112.00
"Chungcheongbuk-do","30-34 Years old",102444,52608,49836,105.60
"Chungcheongbuk-do","35-39 Years old",116506,59095,57411,102.90
"Chungcheongbuk-do","40-44 Years old",123479,62779,60700,103.40
"Chungcheongbuk-do","45-49 Years old",123065,63404,59661,106.30
"Chungcheongbuk-do","50-54 Years old",117176,59622,57554,103.60
"Chungcheongbuk-do","55-59 Years old",87616,43670,43946,99.40
"Chungcheongbuk-do","60-64 Years old",64533,31528,33005,95.50
"Chungcheongbuk-do","65-69 Years old",62552,28168,34384,81.90
"Chungcheongbuk-do","70-74 Years old",61304,26313,34991,75.20
"Chungcheongbuk-do","75-79 Years old",44818,16754,28064,59.70
"Chungcheongbuk-do","80-84 Years old",24413,7750,16663,46.50
"Chungcheongbuk-do","85 Years old & over",14872,4111,10761,38.20
"Chungcheongbuk-do","14 and under",246902,128225,118677,108.00
"Chungcheongbuk-do","15 - 64 Years old",1041123,537301,503822,106.60
"Chungcheongbuk-do","65 Years old",207959,83096,124863,66.50
"Chungcheongbuk-do","Mean age",39.0,37.5,40.5,-
"Chungcheongbuk-do","Median age",39.0,37.5,40.5,-
"Chungcheongnam-do","Total",2000473,1007454,993019,101.50
"Chungcheongnam-do","0-4 Years old",97608,50210,47398,105.90
"Chungcheongnam-do","5-9 Years old",101178,52389,48789,107.40
"Chungcheongnam-do","10-14 Years old",129040,66920,62120,107.70
"Chungcheongnam-do","15-19 Years old",145024,75768,69256,109.40
"Chungcheongnam-do","20-24 Years old",130476,69426,61050,113.70
"Chungcheongnam-do","25-29 Years old",132577,73891,58686,125.90
"Chungcheongnam-do","30-34 Years old",141500,75275,66225,113.70
"Chungcheongnam-do","35-39 Years old",155044,80945,74099,109.20
"Chungcheongnam-do","40-44 Years old",153553,81092,72461,111.90
"Chungcheongnam-do","45-49 Years old",153480,80885,72595,111.40
"Chungcheongnam-do","50-54 Years old",143493,73372,70121,104.60
"Chungcheongnam-do","55-59 Years old",110994,55044,55950,98.40
"Chungcheongnam-do","60-64 Years old",96025,47139,48886,96.40
"Chungcheongnam-do","65-69 Years old",87876,39386,48490,81.20
"Chungcheongnam-do","70-74 Years old",90300,38326,51974,73.70
"Chungcheongnam-do","75-79 Years old",71286,28147,43139,65.20
"Chungcheongnam-do","80-84 Years old",37794,12791,25003,51.20
"Chungcheongnam-do","85 Years old & over",23225,6448,16777,38.40
"Chungcheongnam-do","14 and under",327826,169519,158307,107.10
"Chungcheongnam-do","15 - 64 Years old",1362166,712837,649329,109.80
"Chungcheongnam-do","65 Years old",310481,125098,185383,67.50
"Chungcheongnam-do","Mean age",39.5,38.0,41.1,-
"Chungcheongnam-do","Median age",39.0,37.6,40.6,-
"Jeollabuk-do","Total",1766044,867630,898414,96.60
"Jeollabuk-do","0-4 Years old",77197,39946,37251,107.20
"Jeollabuk-do","5-9 Years old",89553,46303,43250,107.10
"Jeollabuk-do","10-14 Years old",121992,63081,58911,107.10
"Jeollabuk-do","15-19 Years old",130831,69635,61196,113.80
"Jeollabuk-do","20-24 Years old",104713,58354,46359,125.90
"Jeollabuk-do","25-29 Years old",102874,53760,49114,109.50
"Jeollabuk-do","30-34 Years old",109492,55153,54339,101.50
"Jeollabuk-do","35-39 Years old",131138,65972,65166,101.20
"Jeollabuk-do","40-44 Years old",135282,68929,66353,103.90
"Jeollabuk-do","45-49 Years old",136916,69078,67838,101.80
"Jeollabuk-do","50-54 Years old",133760,66229,67531,98.10
"Jeollabuk-do","55-59 Years old",104671,51208,53463,95.80
"Jeollabuk-do","60-64 Years old",98041,47024,51017,92.20
"Jeollabuk-do","65-69 Years old",84196,37276,46920,79.40
"Jeollabuk-do","70-74 Years old",82727,34173,48554,70.40
"Jeollabuk-do","75-79 Years old",64990,24272,40718,59.60
"Jeollabuk-do","80-84 Years old",36338,11746,24592,47.80
"Jeollabuk-do","85 Years old & over",21333,5491,15842,34.70
"Jeollabuk-do","14 and under",288742,149330,139412,107.10
"Jeollabuk-do","15 - 64 Years old",1187718,605342,582376,103.90
