"city","year","pollutant","category","days"
"Incheon",2019,"o3","Moderate",77
"Incheon",2019,"o3","Unhealthy for Sensitive Groups",3
"Incheon",2019,"pm10","Good",206
"Incheon",2019,"pm10","Moderate",146
"Incheon",2019,"pm10","Unhealthy for Sensitive Groups",8
"Incheon",2019,"pm25","Good",12
"Incheon",2019,"pm25","Moderate",242
"Incheon",2019,"pm25","Unhealthy for Sensitive Groups",90
"Incheon",2019,"pm25","Unhealthy",16
"Incheon",2019,"pm25","Very Unhealthy",1
"Incheon",2019,"so2","Good",361
"Incheon",2020,"co","Good",364
"Incheon",2020,"no2","Good",313
"Incheon",2020,"no2","Moderate",51
"Incheon",2020,"o3","Good",314
"Incheon",2020,"o3","Moderate",46
"Incheon",2020,"o3","Unhealthy for Sensitive Groups",4
"Incheon",2020,"pm10","Good",272
"Incheon",2020,"pm10","Moderate",92
"Incheon",2020,"pm25","Good",55
"Incheon",2020,"pm25","Moderate",245
"Incheon",2020,"pm25","Unhealthy for Sensitive Groups",62
"Incheon",2020,"pm25","Unhealthy",1
"Incheon",2020,"so2","Good",364
"Incheon",2021,"co","Good",365
"Incheon",2021,"no2","Good",320
"Incheon",2021,"no2","Moderate",45
"Incheon",2021,"o3","Good",275
"Incheon",2021,"o3","Moderate",77
"Incheon",2021,"o3","Unhealthy for Sensitive Groups",13
"Incheon",2021,"pm10","Good",259
"Incheon",2021,"pm10","Moderate",101
"Incheon",2021,"pm10","Unhealthy for Sensitive Groups",1
"Incheon",2021,"pm10","Unhealthy",1
"Incheon",2021,"pm10","Hazardous",3
"Incheon",2021,"pm25","Good",51
"Incheon",2021,"pm25","Moderate",211
"Incheon",2021,"pm25","Unhealthy for Sensitive Groups",89
"Incheon",2021,"pm25","Unhealthy",14
"Incheon",2021,"so2","Good",365
"Incheon",2022,"co","Good",365
"Incheon",2022,"no2","Good",336
"Incheon",2022,"no2","Moderate",29
"Incheon",2022,"o3","Good",285
"Incheon",2022,"o3","Moderate",76
"Incheon",2022,"o3","Unhealthy for Sensitive Groups",4
"Incheon",2022,"pm10","Good",292
"Incheon",2022,"pm10","Moderate",71
"Incheon",2022,"pm10","Unhealthy for Sensitive Groups",2
"Incheon",2022,"pm25","Good",47
"Incheon",2022,"pm25","Moderate",242
"Incheon",2022,"pm25","Unhealthy for Sensitive Groups",69
"Incheon",2022,"pm25","Unhealthy",7
"Incheon",2022,"so2","Good",365
"Incheon",2023,"co","Good",365
"Incheon",2023,"no2","Good",336
"Incheon",2023,"no2","Moderate",29
"Incheon",2023,"o3","Good",259
"Incheon",2023,"o3","Moderate",101
"Incheon",2023,"o3","Unhealthy for Sensitive Groups",5
"Incheon",2023,"pm10","Good",253
"Incheon",2023,"pm10","Moderate",108
"Incheon",2023,"pm10","Unhealthy for Sensitive Groups",4
"Incheon",2023,"pm25","Good",16
"Incheon",2023,"pm25","Moderate",244
"Incheon",2023,"pm25","Unhealthy for Sensitive Groups",88
"Incheon",2023,"pm25","Unhealthy",17
"Incheon",2023,"so2","Good",365
"Incheon",2024,"co","Good",364
"Incheon",2024,"no2","Good",357
"Incheon",2024,"no2","Moderate",7
"Incheon",2024,"o3","Good",257
"Incheon",2024,"o3","Moderate",99
"Incheon",2024,"o3","Unhealthy for Sensitive Groups",8
"Incheon",2024,"pm10","Good",264
"Incheon",2024,"pm10","Moderate",99
"Incheon",2024,"pm10","Unhealthy",1
"Incheon",2024,"pm25","Good",16
"Incheon",2024,"pm25","Moderate",263
"Incheon",2024,"pm25","Unhealthy for Sensitive Groups",81
"Incheon",2024,"pm25","Unhealthy",5
"Incheon",2024,"so2","Good",364
"Incheon",2025,"co","Good",362
"Incheon",2025,"no2","Good",353
"Incheon",2025,"no2","Moderate",9
"Incheon",2025,"o3","Good",269
"Incheon",2025,"o3","Moderate",85
"Incheon",2025,"o3","Unhealthy for Sensitive Groups",8
"Incheon",2025,"pm10","Good",277
"Incheon",2025,"pm10","Moderate",85
"Incheon",2025,"pm25","Good",59
"Incheon",2025,"pm25","Moderate",215
"Incheon",2025,"pm25","Unhealthy for Sensitive Groups",79
"Incheon",2025,"pm25","Unhealthy",9
"Incheon",2025,"so2","Good",362
"Seoul",2014,"co","Good",362
"Seoul",2014,"no2","Good",283
